Bundesland,Gesamt,0..4,1,5..9,2,10..14,3,15..19,4,20..24,5,25..29,6,30..34,7,35..39,8,40..44,9,45..49,10,50..54,11,55..59,12,60..64,13,65..69,14,70..74,15,75..79,16,80..84,17,85..110,18
Baden-Württemberg,11069533,536556,0.0485,495446,0.0448,512763,0.0463,460973,0.0416,676938,0.0612,740603,0.0669,732937,0.0662,704214,0.0636,655223,0.0592,752246,0.0680,907690,0.0820,856104,0.0773,700225,0.0633,594524,0.0537,450012,0.0407,503644,0.0455,390048,0.0352,293983,0.0266
Bayern,13076721,628007,0.0480,572897,0.0438,578203,0.0442,519896,0.0398,770917,0.0590,868040,0.0664,868872,0.0664,849054,0.0649,794825,0.0608,906380,0.0693,1089004,0.0833,1019706,0.0780,828922,0.0634,707775,0.0541,564107,0.0431,606046,0.0463,447563,0.0342,337073,0.0258
Berlin,3644826,193088,0.0530,167404,0.0459,151676,0.0416,119395,0.0328,200052,0.0549,288455,0.0791,326159,0.0895,285694,0.0784,230882,0.0633,228955,0.0628,271426,0.0745,254720,0.0699,199325,0.0547,183578,0.0504,145091,0.0398,172368,0.0473,119171,0.0327,79356,0.0218
Brandenburg,2511917,108792,0.0433,112066,0.0446,108852,0.0433,83223,0.0331,85581,0.0341,103438,0.0412,152714,0.0608,159344,0.0634,143472,0.0571,163732,0.0652,218065,0.0868,237367,0.0945,199214,0.0793,172455,0.0687,107082,0.0426,150852,0.0601,111107,0.0442,73373,0.0292
Bremen,682986,33582,0.0492,29064,0.0426,29431,0.0431,26837,0.0393,44882,0.0657,50103,0.0734,48238,0.0706,43899,0.0643,39725,0.0582,43955,0.0644,53056,0.0777,48888,0.0716,41482,0.0607,36719,0.0538,30534,0.0447,32879,0.0481,25234,0.0369,18609,0.0272
Hamburg,1841179,99075,0.0538,82819,0.0450,78729,0.0428,65215,0.0354,112486,0.0611,148012,0.0804,153975,0.0836,141244,0.0767,123205,0.0669,125082,0.0679,143394,0.0779,121805,0.0662,94725,0.0514,81696,0.0444,72704,0.0395,78876,0.0428,59081,0.0321,43898,0.0238
Hessen,6265809,302453,0.0483,281831,0.0450,286364,0.0457,249508,0.0398,366848,0.0585,403359,0.0644,404965,0.0646,399505,0.0638,380120,0.0607,433961,0.0693,524501,0.0837,484526,0.0773,397310,0.0634,348139,0.0556,272602,0.0435,288268,0.0460,218422,0.0349,165315,0.0264
Mecklenburg-Vorpommern,1609675,68144,0.0423,69735,0.0433,67006,0.0416,52926,0.0329,60347,0.0375,76233,0.0474,105062,0.0653,101917,0.0633,87581,0.0544,96622,0.0600,130252,0.0809,149868,0.0931,133772,0.0831,117159,0.0728,68071,0.0423,92654,0.0576,71291,0.0443,47931,0.0298
Niedersachsen,7982448,370392,0.0464,350592,0.0439,368124,0.0461,339635,0.0425,462228,0.0579,479311,0.0600,473919,0.0594,464325,0.0582,448884,0.0562,548335,0.0687,683764,0.0857,639331,0.0801,526651,0.0660,467747,0.0586,357709,0.0448,398213,0.0499,305350,0.0383,220952,0.0277
Nordrhein-Westfalen,17932651,857292,0.0478,794396,0.0443,821069,0.0458,736899,0.0411,1053688,0.0588,1149459,0.0641,1125965,0.0628,1089356,0.0607,1031842,0.0575,1218039,0.0679,1516098,0.0845,1420214,0.0792,1185427,0.0661,1001902,0.0559,761574,0.0425,836348,0.0466,667219,0.0372,496274,0.0277
Rheinland-Pfalz,4084844,189335,0.0464,175887,0.0431,179846,0.0440,163988,0.0401,231551,0.0567,251190,0.0615,248271,0.0608,243253,0.0596,227898,0.0558,271671,0.0665,346657,0.0849,342341,0.0838,288082,0.0705,253895,0.0622,172224,0.0422,191914,0.0470,153132,0.0375,116347,0.0285
Saarland,990509,40865,0.0413,38775,0.0391,40235,0.0406,36821,0.0372,52859,0.0534,59357,0.0599,59013,0.0596,57128,0.0577,52121,0.0526,62207,0.0628,83687,0.0845,87411,0.0882,76552,0.0773,68003,0.0687,44371,0.0448,50164,0.0506,41920,0.0423,30776,0.0311
Sachsen,4077937,187049,0.0459,182566,0.0448,171548,0.0421,133499,0.0327,163653,0.0401,208830,0.0512,273447,0.0671,264105,0.0648,230500,0.0565,251763,0.0617,302101,0.0741,320927,0.0787,289001,0.0709,286842,0.0703,194158,0.0476,255119,0.0626,189073,0.0464,141120,0.0346
Sachsen-Anhalt,2208321,91146,0.0413,90750,0.0411,88383,0.0400,71350,0.0323,84804,0.0384,103210,0.0467,135735,0.0615,132517,0.0600,115088,0.0521,142357,0.0645,179578,0.0813,196063,0.0888,175622,0.0795,162427,0.0736,109236,0.0495,141236,0.0640,101811,0.0461,70208,0.0318
Schleswig-Holstein,2896712,128354,0.0443,125906,0.0435,132067,0.0456,120922,0.0417,157643,0.0544,163243,0.0564,164018,0.0566,166912,0.0576,163797,0.0565,201248,0.0695,258715,0.0893,232593,0.0803,188073,0.0649,168682,0.0582,142644,0.0492,159771,0.0552,117312,0.0405,77279,0.0267
Thüringen,2143145,92267,0.0431,92104,0.0430,87884,0.0410,70039,0.0327,82795,0.0386,100492,0.0469,135739,0.0633,134949,0.0630,116575,0.0544,137966,0.0644,167960,0.0784,186354,0.0870,169531,0.0791,156954,0.0732,104426,0.0487,131032,0.0611,93863,0.0438,65015,0.0303
